,Year,Month,Day,Record Create Date,Precinct Code,Patrol Borough,County,Law Code Category,Bias Motive,Offense Category
3032,2024,Jul,Thu,2024-07-11,61,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
3033,2022,Jul,Sat,2022-07-23,52,Bronx,BRONX,Felony,Anti-transgender,Gender
3034,2022,Mar,Mon,2022-03-07,60,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
3035,2022,Sep,Thu,2022-09-29,61,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
3036,2022,Jul,Mon,2022-07-18,69,Brooklyn south,KINGS,Felony,Anti-asian,Race/Color
3037,2022,Mar,Tue,2022-03-01,71,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
3038,2022,Jul,Sat,2022-07-16,73,Brooklyn north,KINGS,Misdemeanor,Anti-asian,Race/Color
3039,2022,Dec,Mon,2022-12-05,75,Brooklyn north,KINGS,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
3040,2022,Jan,Mon,2022-01-10,78,Brooklyn south,KINGS,Misdemeanor,Anti-other ethnicity,Cultural Identity
3041,2022,Apr,Sat,2022-04-23,84,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
3042,2022,Jun,Tue,2022-06-14,84,Brooklyn north,KINGS,Felony,Anti-catholic,Religion
3043,2022,Sep,Fri,2022-09-02,90,Brooklyn north,KINGS,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
3044,2022,Aug,Tue,2022-08-09,103,Queens south,QUEENS,Misdemeanor,Anti-black,Race/Color
3045,2022,Aug,Sun,2022-08-21,109,Queens north,QUEENS,Felony,Anti-jewish,Religion
3046,2022,Feb,Fri,2022-02-18,111,Queens north,QUEENS,Misdemeanor,Anti-black,Race/Color
3047,2022,Nov,Thu,2022-11-03,123,Staten island,RICHMOND,Felony,Anti-jewish,Religion
3048,2023,Sep,Thu,2023-09-07,1,Manhattan south,NEW YORK,Misdemeanor,Anti-jewish,Religion
3049,2023,Jun,Mon,2023-06-05,107,Queens south,QUEENS,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
3050,2023,Jan,Sat,2023-01-21,110,Queens north,QUEENS,Felony,Anti-jewish,Religion
3051,2023,Mar,Fri,2023-03-03,110,Queens north,QUEENS,Felony,Anti-male homosexual (gay),Sexual Orientation
3052,2023,May,Fri,2023-05-19,110,Queens north,QUEENS,Misdemeanor,Anti-asian,Race/Color
3053,2023,Aug,Fri,2023-08-18,110,Queens north,QUEENS,Felony,Anti-jewish,Religion
3054,2023,Sep,Sat,2023-09-30,115,Queens north,QUEENS,Felony,Anti-jewish,Religion
3055,2023,Jun,Tue,2023-06-13,121,Staten island,RICHMOND,Felony,Anti-jewish,Religion
3056,2024,Aug,Thu,2024-08-29,5,Manhattan south,NEW YORK,Felony,Anti-male homosexual (gay),Sexual Orientation
3057,2024,Jun,Tue,2024-06-04,6,Manhattan south,NEW YORK,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
3058,2024,Jul,Wed,2024-07-10,7,Manhattan south,NEW YORK,Misdemeanor,Anti-jewish,Religion
3059,2024,Mar,Thu,2024-03-07,18,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
3060,2024,Jul,Tue,2024-07-23,18,Manhattan south,NEW YORK,Misdemeanor,Anti-asian,Race/Color
3061,2024,Apr,Fri,2024-04-19,19,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
3062,2024,May,Tue,2024-05-21,19,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
3063,2024,Jun,Thu,2024-06-13,19,Manhattan north,NEW YORK,Misdemeanor,Anti-jewish,Religion
3064,2024,May,Sat,2024-05-04,20,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
3065,2024,Mar,Fri,2024-03-22,1,Manhattan south,NEW YORK,Misdemeanor,Anti-asian,Race/Color
3066,2024,Apr,Wed,2024-04-24,6,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
3067,2024,Sep,Wed,2024-09-25,10,Manhattan south,NEW YORK,Misdemeanor,Anti-other religion,Religion
3068,2024,Jun,Thu,2024-06-20,17,Manhattan south,NEW YORK,Misdemeanor,Anti-other ethnicity,Cultural Identity
3069,2024,Jan,Fri,2024-01-12,19,Manhattan north,NEW YORK,Misdemeanor,Anti-jewish,Religion
3070,2024,Sep,Thu,2024-09-19,20,Manhattan north,NEW YORK,Misdemeanor,Anti-other ethnicity,Cultural Identity
3071,2024,Jul,Sat,2024-07-13,22,Manhattan north,NEW YORK,Felony,Anti-white,Race/Color
3072,2024,Jun,Fri,2024-07-05,23,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
3073,2024,Jul,Sun,2024-07-21,24,Manhattan north,NEW YORK,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
3074,2024,Jun,Mon,2024-06-17,26,Manhattan north,NEW YORK,Felony,Anti-asian,Race/Color
3075,2024,Sep,Mon,2024-09-23,26,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
3076,2024,Mar,Wed,2024-03-20,43,Bronx,BRONX,Misdemeanor,Anti-other ethnicity,Cultural Identity
3077,2024,Apr,Fri,2024-04-05,44,Bronx,BRONX,Misdemeanor,Anti-white,Race/Color
3078,2024,Sep,Wed,2024-09-25,45,Bronx,BRONX,Felony,Anti-black,Race/Color
